ts,rate
1781719200.085,2.5294e-06
1781722800.014,3.4643e-06
1781726400.002,3.91e-06
1781730000.044,2.2663e-06
1781733600.055,-9.735e-07
1781737200.018,-2.5724e-06
1781740800.025,-3.8917e-06
1781744400.017,-8.725e-07
1781748000.016,-4.668e-06
1781751600.014,-9.5807e-06
1781755200.006,-1.40099e-05
1781758800.058,-1.21716e-05
1781762400.043,2.6909e-06
1781766000.049,4.2691e-06
1781769600.053,2.7816e-06
1781773200.012,-1.5194e-06
1781776800.028,-4.0985e-06
1781780400.027,3.2256e-06
1781784000.055,7.1706e-06
1781787600.033,1.25e-05
1781791200.057,-4.1974e-06
1781794800.016,-1.32848e-05
1781798400.053,-1.70324e-05
1781802000.046,7.106e-06
1781805600.046,8.7879e-06
1781809200.059,1.25e-05
1781812800.014,4.9308e-06
1781816400.066,1.25e-05
1781820000.06,1.25e-05
1781823600.062,1.25e-05
1781827200.011,3.4673e-06
1781830800.007,1.25e-05
1781834400.023,1.20219e-05
1781838000.002,8.3981e-06
1781841600.042,1.25e-05
1781845200.002,1.25e-05
1781848800.022,1.25e-05
1781852400.062,1.25e-05
1781856000.051,7.0614e-06
1781859600.032,7.0452e-06
1781863200.018,4.6183e-06
1781866800.0,1.17046e-05
1781870400.053,1.14699e-05
1781874000.015,8.9368e-06
1781877600.037,1.11506e-05
1781881200.043,1.25e-05
1781884800.032,1.25e-05
1781888400.013,1.25e-05
1781892000.044,9.4328e-06
1781895600.013,1.25e-05
1781899200.028,1.25e-05
1781902800.023,1.25e-05
1781906400.007,1.25e-05
1781910000.072,1.25e-05
1781913600.067,1.25e-05
1781917200.031,1.2219e-05
1781920800.026,9.2121e-06
1781924400.064,4.4195e-06
1781928000.056,4.5835e-06
1781931600.023,1.25e-05
1781935200.048,1.25e-05
1781938800.021,1.25e-05
1781942400.036,1.25e-05
1781946000.017,1.4874e-06
1781949600.001,9.3989e-06
1781953200.008,6.4863e-06
1781956800.01,1.07853e-05
1781960400.008,3.8266e-06
1781964000.023,3.9752e-06
1781967600.024,1.21083e-05
1781971200.039,1.25e-05
1781974800.006,5.9951e-06
1781978400.046,3.8863e-06
1781982000.017,1.7967e-06
1781985600.032,7.6944e-06
1781989200.043,9.0437e-06
1781992800.059,1.25e-05
1781996400.038,1.25e-05
1782000000.047,1.25e-05
1782003600.035,1.25e-05
1782007200.009,1.25e-05
1782010800.033,1.25e-05
1782014400.034,1.09303e-05
1782018000.004,1.00536e-05
1782021600.025,-5.7e-09
1782025200.043,2.6072e-06
1782028800.033,-2.7056e-06
1782032400.005,-6.2019e-06
1782036000.02,8.7119e-06
1782039600.04,5.2761e-06
1782043200.044,-4.7459e-06
1782046800.053,-1.31008e-05
1782050400.007,-1.13397e-05
1782054000.003,-8.0165e-06
1782057600.03,-2.4511e-06
1782061200.007,-5.4436e-06
1782064800.046,-3.7171e-06
1782068400.029,-3.2544e-06
1782072000.036,-5.2568e-06
1782075600.057,-5.8244e-06
1782079200.077,-1.66529e-05
1782082800.061,-5.2208e-06
1782086400.011,-6.1048e-06
1782090000.019,-4.2085e-06
1782093600.074,1.112e-06
1782097200.037,1.625e-07
1782100800.02,-4.032e-07
1782104400.054,1.5422e-06
1782108000.033,2.1272e-06
1782111600.031,1.7466e-06
1782115200.054,7.2571e-06
1782118800.012,9.7535e-06
1782122400.04,1.03105e-05
1782126000.045,8.8485e-06
1782129600.028,1.25e-05
1782133200.062,1.01211e-05
1782136800.004,2.0572e-06
1782140400.009,2.285e-07
1782144000.016,7.2038e-06
1782147600.02,1.25e-05
1782151200.035,1.25e-05
1782154800.028,1.25e-05
1782158400.037,1.25e-05
1782162000.027,1.25e-05
1782165600.001,1.25e-05
1782169200.047,1.25e-05
1782172800.019,1.25e-05
1782176400.05,1.25e-05
1782180000.059,1.25e-05
1782183600.043,8.7723e-06
1782187200.043,5.0152e-06
1782190800.0,5.1996e-06
1782194400.028,9.8166e-06
1782198000.005,9.15e-08
1782201600.004,-4.5402e-06
1782205200.027,-9.0926e-06
1782208800.015,-8.6932e-06
1782212400.038,-5.8728e-06
1782216000.032,5.3496e-06
1782219600.064,8.6098e-06
1782223200.005,9.2052e-06
1782226800.068,7.5091e-06
1782230400.018,3.1741e-06
1782234000.004,1.22657e-05
1782237600.057,1.12356e-05
1782241200.036,9.086e-06
1782244800.052,1.25e-05
1782248400.041,1.25e-05
1782252000.077,1.15542e-05
1782255600.017,1.07788e-05
1782259200.059,1.25e-05
1782262800.007,1.25e-05
1782266400.045,1.25e-05
1782270000.043,9.8136e-06
1782273600.009,1.25e-05
1782277200.004,1.25e-05
1782280800.031,1.25e-05
1782284400.002,4.6544e-06
1782288000.01,-2.7601e-06
1782291600.011,6.9275e-06
1782295200.043,9.8227e-06
1782298800.026,6.7893e-06
1782302400.04,5.1607e-06
1782306000.01,4.421e-07
1782309600.048,-4.1508e-06
1782313200.052,4.2983e-06
1782316800.06,-2.2568e-06
1782320400.011,4.5381e-06
1782324000.061,-7.0317e-06
1782327600.107,8.821e-07
1782331200.013,5.3178e-06
1782334800.057,5.3486e-06
1782338400.034,3.8264e-06
1782342000.012,-2.28e-06
1782345600.02,-2.964e-07
1782349200.006,1.4929e-06
1782352800.035,-9.215e-07
1782356400.01,-5.1557e-06
1782360000.019,-8.506e-06
1782363600.009,3.7713e-06
1782367200.044,2.16e-06
1782370800.021,1.2884e-06
1782374400.066,-6.489e-07
1782378000.009,-7.7055e-06
1782381600.04,-4.107e-06
1782385200.059,-5.146e-06
1782388800.013,-4.4893e-06
1782392400.054,-2.1264e-06
1782396000.004,-1.42952e-05
1782399600.031,-1.97415e-05
1782403200.049,-4.7767e-06
1782406800.028,-5.3158e-06
1782410400.008,-2.6261e-06
1782414000.054,1.5991e-06
1782417600.025,-4.2613e-06
1782421200.001,-8.174e-07
1782424800.049,1.3853e-06
1782428400.053,-7.3666e-06
1782432000.043,-3.331e-06
1782435600.034,-7.0816e-06
1782439200.084,-1.1692e-05
1782442800.008,-1.53865e-05
1782446400.013,1.693e-07
1782450000.01,1.09522e-05
1782453600.03,4.8834e-06
1782457200.029,-6.5597e-06
1782460800.07,-5.9278e-06
1782464400.001,-1.26616e-05
1782468000.009,-8.0603e-06
1782471600.032,1.25e-08
1782475200.076,2.7049e-06
1782478800.058,4.6336e-06
1782482400.025,-1.9509e-06
1782486000.036,1.303e-07
1782489600.035,2.5329e-06
1782493200.027,-2.9854e-06
1782496800.042,-3.616e-06
1782500400.058,-7.8836e-06
1782504000.001,-9.643e-07
1782507600.081,-1.721e-07
1782511200.052,4.4487e-06
1782514800.072,-1.4599e-06
1782518400.047,1.7298e-06
1782522000.061,-2.5728e-06
1782525600.033,-7.2372e-06
1782529200.064,7.0285e-06
1782532800.005,7.318e-06
1782536400.052,5.2405e-06
1782540000.003,-4.916e-07
