ts,side,price,size
1780987500.001,sell,63208.0,108.411315
1780988400.0,buy,63421.0,141.98137
1780988400.001,sell,63275.0,141.98137
1780989300.0,buy,63339.0,149.152625
1780989300.001,sell,62977.0,149.152625
1780990200.0,sell,63009.0,155.800005
1780990200.001,buy,63193.0,155.800005
1780991100.0,sell,63097.0,71.934305
1780991100.001,buy,63195.0,71.934305
1780992000.0,buy,63196.0,293.30477
1780992000.001,sell,62748.0,293.30477
1780992900.0,buy,62957.0,108.43557
1780992900.001,sell,62850.0,108.43557
1780993800.0,sell,62778.0,68.133735
1780993800.001,buy,62990.0,68.133735
1780994700.0,buy,62982.0,162.486825
1780994700.001,sell,62803.0,162.486825
1780995600.0,sell,62678.0,176.364275
1780995600.001,buy,62868.0,176.364275
1780996500.0,buy,62930.0,156.76803
1780996500.001,sell,62783.0,156.76803
1780997400.0,buy,62792.0,225.083905
1780997400.001,sell,62566.0,225.083905
1780998300.0,sell,62614.0,46.91392
1780998300.001,buy,62705.0,46.91392
1780999200.0,sell,62573.0,74.29942
1780999200.001,buy,62776.0,74.29942
1781000100.0,buy,62755.0,83.614385
1781000100.001,sell,62680.0,83.614385
1781001000.0,buy,62737.0,58.235365
1781001000.001,sell,62612.0,58.235365
1781001900.0,sell,62626.0,105.505405
1781001900.001,buy,62811.0,105.505405
1781002800.0,buy,62783.0,142.59249
1781002800.001,sell,62500.0,142.59249
1781003700.0,sell,62461.0,503.42729
1781003700.001,buy,62623.0,503.42729
1781004600.0,sell,62500.0,60.874595
1781004600.001,buy,62655.0,60.874595
1781005500.0,sell,62549.0,136.135905
1781005500.001,buy,62706.0,136.135905
1781006400.0,sell,62669.0,301.564825
1781006400.001,buy,62882.0,301.564825
1781007300.0,buy,62816.0,90.22591
1781007300.001,sell,62617.0,90.22591
1781008200.0,buy,62646.0,280.95945
1781008200.001,sell,62488.0,280.95945
1781009100.0,sell,62403.0,188.705585
1781009100.001,buy,62638.0,188.705585
1781010000.0,buy,62735.0,206.682905
1781010000.001,sell,62503.0,206.682905
1781010900.0,buy,62547.0,672.219675
1781010900.001,sell,62253.0,672.219675
1781011800.0,sell,62136.0,603.855575
1781011800.001,buy,62491.0,603.855575
1781012700.0,buy,62504.0,266.28348
1781012700.001,sell,62254.0,266.28348
1781013600.0,buy,62369.0,444.944055
1781013600.001,sell,61957.0,444.944055
1781014500.0,buy,62046.0,864.535985
1781014500.001,sell,61519.0,864.535985
1781015400.0,buy,61661.0,705.377475
1781015400.001,sell,61293.0,705.377475
1781016300.0,sell,61140.0,840.80058
1781016300.001,buy,61534.0,840.80058
1781017200.0,sell,61312.0,441.210765
1781017200.001,buy,61684.0,441.210765
1781018100.0,buy,61684.0,489.66229
1781018100.001,sell,61279.0,489.66229
1781019000.0,sell,61189.0,585.60567
1781019000.001,buy,61408.0,585.60567
1781019900.0,buy,61368.0,924.658005
1781019900.001,sell,61003.0,924.658005
1781020800.0,buy,61199.0,553.95857
1781020800.001,sell,60906.0,553.95857
1781021700.0,sell,60832.0,582.83835
1781021700.001,buy,61107.0,582.83835
1781022600.0,sell,60765.0,1116.02026
1781022600.001,buy,61310.0,1116.02026
1781023500.0,sell,61151.0,504.83883
1781023500.001,buy,61468.0,504.83883
1781024400.0,sell,61369.0,533.984015
1781024400.001,buy,61666.0,533.984015
1781025300.0,sell,61562.0,929.981105
1781025300.001,buy,61870.0,929.981105
1781026200.0,buy,61824.0,287.035525
1781026200.001,sell,61665.0,287.035525
1781027100.0,sell,61574.0,234.02139
1781027100.001,buy,61845.0,234.02139
1781028000.0,sell,61586.0,207.20294
1781028000.001,buy,61817.0,207.20294
1781028900.0,buy,61938.0,255.572355
1781028900.001,sell,61645.0,255.572355
1781029800.0,buy,61801.0,343.17573
1781029800.001,sell,61566.0,343.17573
1781030700.0,sell,61573.0,192.7218
1781030700.001,buy,61802.0,192.7218
1781031600.0,buy,61895.0,140.583685
1781031600.001,sell,61711.0,140.583685
1781032500.0,sell,61691.0,195.97238
1781032500.001,buy,61888.0,195.97238
1781033400.0,sell,61738.0,222.111995
1781033400.001,buy,62028.0,222.111995
1781034300.0,sell,61730.0,340.81631
1781034300.001,buy,62084.0,340.81631
1781035200.0,sell,61926.0,133.46796
1781035200.001,buy,62189.0,133.46796
1781036100.0,buy,62250.0,148.65369
1781036100.001,sell,61973.0,148.65369
1781037000.0,sell,61954.0,55.37055
1781037000.001,buy,62163.0,55.37055
1781037900.0,sell,62029.0,98.41613
1781037900.001,buy,62139.0,98.41613
1781038800.0,buy,62153.0,107.87788
1781038800.001,sell,62012.0,107.87788
1781039700.0,buy,62117.0,365.60342
1781039700.001,sell,61743.0,365.60342
1781040600.0,sell,61746.0,172.332575
1781040600.001,buy,61880.0,172.332575
1781041500.0,buy,61800.0,123.21557
